Library Name,State,Visits,Total Programs,Circulation
APACHE JUNCTION PUBLIC LIBRARY,AZ,174106,2363,484492
CASA GRANDE PUBLIC LIBRARY,AZ,170422,478,317373
VENITO GARCIA LIBRARY AND ARCHIVES,AZ,8389,100,37
COCOPAH TRIBAL LIBRARY,AZ,5978,,4745
SALT RIVER TRIBAL LIBRARY,AZ,931,54,819
GLOBE PUBLIC LIBRARY,AZ,33080,499,29550
HAYDEN PUBLIC LIBRARY,AZ,5893,18,1942
MIAMI MEMORIAL LIBRARY,AZ,4861,178,4579
PAYSON PUBLIC LIBRARY,AZ,55465,433,97862
ISABELLE HUNT MEMORIAL PUBLIC LIBRARY,AZ,12707,198,13977
SAN CARLOS PUBLIC LIBRARY,AZ,3000,32,10488
TONTO BASIN PUBLIC LIBRARY,AZ,17595,108,15671
YOUNG PUBLIC LIBRARY,AZ,7541,58,1372
COOLIDGE PUBLIC LIBRARY,AZ,36668,286,50612
ELOY SANTA CRUZ LIBRARY,AZ,25220,130,115807
FLORENCE COMMUNITY LIBRARY,AZ,32387,232,53796
KEARNY PUBLIC LIBRARY,AZ,5152,,8447
MAMMOTH PUBLIC LIBRARY,AZ,0,60,5472
MARICOPA LIBRARY & CULTURAL CENTER,AZ,232902,729,291745
SUPERIOR PUBLIC LIBRARY,AZ,15000,13,4777
CAMP VERDE COMMUNITY LIBRARY,AZ,78247,1876,75421
CHINO VALLEY PUBLIC LIBRARY,AZ,40208,240,95468
COTTONWOOD PUBLIC LIBRARY,AZ,255000,70,221793
JEROME PUBLIC LIBRARY,AZ,0,8,2783
PRESCOTT VALLEY PUBLIC LIBRARY,AZ,162677,1424,409627
SEDONA PUBLIC LIBRARY,AZ,106697,526,222034
PRESCOTT PUBLIC LIBRARY,AZ,286783,596,704809
HOLBROOK PUBLIC LIBRARY,AZ,23968,145,22149
PINETOP-LAKESIDE PUBLIC LIBRARY,AZ,23000,157,32935
SHOW LOW PUBLIC LIBRARY,AZ,337246,446,100206
SNOWFLAKE-TAYLOR PUBLIC LIBRARY,AZ,35358,182,55076
WINSLOW PUBLIC LIBRARY,AZ,29025,83,20099
FREDONIA PUBLIC LIBRARY,AZ,11878,210,5360
PAGE PUBLIC LIBRARY,AZ,71845,846,50269
WILLIAMS PUBLIC LIBRARY,AZ,11024,218,19642
FLAGSTAFF CITY-COCONINO COUNTY PUBLIC LIBRARY,AZ,436111,492,427557
THE EDWARD MCELWAIN MEMORIAL LIBRARY,AZ,7525,,12790
KAIBAB PAIUTE TRIBAL LIBRARY,AZ,2800,180,360
FT. MCDOWELL YAVAPAI NATION TRIBAL LIBRARY,AZ,0,,21025
IRA H. HAYES MEMORIAL LIBRARY,AZ,34450,,52244
LA PAZ COUNTY SERVICES,AZ,52619,36,45541
AVA ICH ASIIT TRIBAL LIBRARY,AZ,5624,,159
DR. FERNANDO ESCALANTE TRIBAL LIBRARY,AZ,2978,50,18929
YAVAPAI-PRESCOTT TRIBAL LIBRARY,AZ,1475,,1391
HOPI PUBLIC LIBRARY,AZ,0,,126
AK-CHIN INDIAN COMMUNITY LIBRARY,AZ,351,,10589
SAN LUCY LIBRARY,AZ,2301,,3912
SAN XAVIER LEARNING CENTER LIBRARY,AZ,10000,31,8934
ALAMEDA COUNTY LIBRARY,CA,850331,1146,5331573
ALAMEDA FREE LIBRARY,CA,157206,2483,562536
ALHAMBRA CIVIC CENTER LIBRARY,CA,138995,357,269328
ALPINE COUNTY LIBRARY/ARCHIVES,CA,10057,24,8392
ALTADENA LIBRARY DISTRICT,CA,72572,426,229658
AMADOR COUNTY LIBRARY,CA,15087,37,32746
ANAHEIM PUBLIC LIBRARY,CA,359267,4801,714466
ARCADIA PUBLIC LIBRARY,CA,231830,172,439336
PLACER COUNTY LIBRARY,CA,193685,292,758357
AZUSA CITY LIBRARY,CA,53012,148,13609
BERKELEY PUBLIC LIBRARY,CA,566740,743,2166596
BEVERLY HILLS PUBLIC LIBRARY,CA,234158,156,253650
BRAWLEY PUBLIC LIBRARY,CA,7103,,14190
BUENA PARK LIBRARY DISTRICT,CA,128520,238,244869
BURBANK PUBLIC LIBRARY,CA,378266,488,695837
BURLINGAME PUBLIC LIBRARY,CA,175581,578,628472
BUTTE COUNTY LIBRARY,CA,102648,1187,502353
CALAVERAS COUNTY LIBRARY,CA,37094,319,89785
CAMARENA MEMORIAL PUBLIC LIBRARY,CA,20023,243,15393
CARLSBAD CITY LIBRARY,CA,363803,632,1008522
HARRISON MEMORIAL LIBRARY,CA,26466,49,103199
CERRITOS PUBLIC LIBRARY,CA,324174,125,227414
CHULA VISTA PUBLIC LIBRARY,CA,147422,513,491175
COALINGA-HURON LIBRARY DISTRICT,CA,20707,164,22266
COLTON PUBLIC LIBRARY,CA,21189,143,12338
COLUSA COUNTY FREE LIBRARY,CA,20788,513,50845
CITY OF COMMERCE PUBLIC LIBRARY,CA,24454,239,36407
CONTRA COSTA COUNTY LIBRARY,CA,3292926,788,5868146
CORONA PUBLIC LIBRARY,CA,180680,863,280433
COVINA PUBLIC LIBRARY,CA,50750,327,50454
DALY CITY PUBLIC LIBRARY,CA,135132,181,413719
DEL NORTE COUNTY LIBRARY DISTRICT,CA,20104,204,62595
DOWNEY CITY LIBRARY,CA,150030,346,160278
EL CENTRO PUBLIC LIBRARY,CA,19131,1077,16059
EL DORADO COUNTY LIBRARY,CA,414739,349,749719
EL SEGUNDO PUBLIC LIBRARY,CA,168413,215,160728
ESCONDIDO PUBLIC LIBRARY,CA,202946,525,501316
HUMBOLDT COUNTY LIBRARY,CA,165571,213,412890
FRESNO COUNTY PUBLIC LIBRARY,CA,160172,1938,2507087
FULLERTON PUBLIC LIBRARY,CA,156805,114,377529
"GLENDALE LIBRARY, ARTS & CULTURE",CA,411675,686,881840
GLENDORA LIBRARY & CULTURAL CENTER,CA,132926,234,186823
HAYWARD PUBLIC LIBRARY,CA,250000,2116,350441
HEMET PUBLIC LIBRARY,CA,36638,22,263630
HUNTINGTON BEACH PUBLIC LIBRARY,CA,432125,403,912890
IMPERIAL COUNTY LIBRARY,CA,9400,1249,21780
IMPERIAL PUBLIC LIBRARY,CA,10390,57,12603
INGLEWOOD PUBLIC LIBRARY,CA,25,139,27642
INYO COUNTY FREE LIBRARY,CA,16145,108,36416
KERN COUNTY LIBRARY,CA,489090,4024,784507
KINGS COUNTY LIBRARY,CA,89538,170,127017
LAKE COUNTY LIBRARY,CA,164893,645,203731
LARKSPUR PUBLIC LIBRARY,CA,1198,102,151955
LINCOLN PUBLIC LIBRARY,CA,180414,176,311731
LIVERMORE PUBLIC LIBRARY,CA,170083,708,685433
LODI PUBLIC LIBRARY,CA,179765,157,194426
LOMPOC PUBLIC LIBRARY,CA,68511,131,191899
LONG BEACH PUBLIC LIBRARY,CA,587352,1043,1028764
LA COUNTY LIBRARY,CA,3362512,4048,12135251
LOS ANGELES PUBLIC LIBRARY,CA,3710717,5091,18874940
MADERA COUNTY LIBRARY,CA,447799,244,169047
MARIN COUNTY FREE LIBRARY,CA,566610,687,1555655
MENDOCINO COUNTY LIBRARY,CA,184169,819,511672
MENLO PARK PUBLIC LIBRARY,CA,106615,376,659100
MERCED COUNTY LIBRARY,CA,222167,1071,206878
MILL VALLEY PUBLIC LIBRARY,CA,62821,414,259871
MODOC COUNTY LIBRARY,CA,10077,73,19921
MONO COUNTY FREE LIBRARY,CA,59870,403,65190
MONROVIA PUBLIC LIBRARY,CA,66386,459,177961
MONTEREY COUNTY FREE LIBRARIES,CA,266312,257,434081
MONTEREY PUBLIC LIBRARY,CA,99479,155,284212
MONTEREY PARK BRUGGEMEYER LIBRARY,CA,49377,814,112159
MOUNTAIN VIEW PUBLIC LIBRARY,CA,261763,284,1224755
NAPA COUNTY LIBRARY,CA,230623,466,802472
NATIONAL CITY PUBLIC LIBRARY,CA,50385,25,41202
NEVADA COUNTY LIBRARY,CA,93943,1414,723999
NEWPORT BEACH PUBLIC LIBRARY,CA,512178,759,1195178
OAKLAND PUBLIC LIBRARY,CA,999085,2345,3000013
OCEANSIDE PUBLIC LIBRARY,CA,293546,1289,413053
ONTARIO CITY LIBRARY,CA,188436,485,351419
ORANGE COUNTY PUBLIC LIBRARIES,CA,2789900,6652,8069504
ORANGE PUBLIC LIBRARY,CA,217211,245,423529
ORLAND FREE LIBRARY,CA,14860,127,28367
OXNARD PUBLIC LIBRARY,CA,78591,131,64419
PACIFIC GROVE PUBLIC LIBRARY,CA,30945,322,160828
PALMDALE CITY LIBRARY,CA,37321,148,144409
PALM SPRINGS PUBLIC LIBRARY,CA,106643,137,272744
PALO ALTO CITY LIBRARY,CA,446896,435,1214928
PALOS VERDES LIBRARY DISTRICT,CA,537074,129,871121
PALO VERDE VALLEY LIBRARY DISTRICT,CA,16617,48,35367
PASADENA PUBLIC LIBRARY,CA,453799,1347,705499
PASO ROBLES CITY LIBRARY,CA,94696,112,254440
PLACENTIA LIBRARY DISTRICT,CA,184007,370,1296094
PLUMAS COUNTY LIBRARY,CA,21356,101,127234
POMONA PUBLIC LIBRARY,CA,32521,60,29711
PORTERVILLE PUBLIC LIBRARY,CA,0,857,6555
REDONDO BEACH PUBLIC LIBRARY,CA,134103,236,411909
REDWOOD CITY PUBLIC LIBRARY,CA,405665,1674,951153
RICHMOND PUBLIC LIBRARY,CA,188691,397,102268
RIVERSIDE PUBLIC LIBRARY,CA,243489,716,659701
ROSEVILLE PUBLIC LIBRARY,CA,296886,332,1152484
SACRAMENTO PUBLIC LIBRARY,CA,1148709,2706,7260551
SALINAS PUBLIC LIBRARY,CA,138047,207,145588
SAN ANSELMO PUBLIC LIBRARY,CA,28782,174,155757
SAN BENITO COUNTY FREE LIBRARY,CA,118232,497,261415
SAN BERNARDINO COUNTY LIBRARY,CA,1206189,6884,3568931
SAN BERNARDINO PUBLIC LIBRARY,CA,94001,358,59946
SAN BRUNO PUBLIC LIBRARY,CA,88252,191,312218
SAN DIEGO COUNTY LIBRARY,CA,1785471,2250,8218124
SAN DIEGO PUBLIC LIBRARY,CA,3425415,5978,5436363
SAN FRANCISCO PUBLIC LIBRARY,CA,2425569,3055,11432696
SAN JOSE PUBLIC LIBRARY,CA,2154869,6523,6904551
SAN JUAN BAUTISTA CITY LIBRARY,CA,596,,1223
SAN LEANDRO PUBLIC LIBRARY,CA,122071,330,302267
SAN LUIS OBISPO CITY-COUNTY LIBRARY,CA,412990,800,2075523
CROWELL PUBLIC LIBRARY,CA,183064,171,180851
SAN MATEO COUNTY LIBRARIES,CA,935621,4167,2873438
SAN MATEO PUBLIC LIBRARY,CA,255644,621,983224
SAN RAFAEL PUBLIC LIBRARY,CA,134970,179,634177
SANTA ANA PUBLIC LIBRARY,CA,92970,445,167822
SANTA BARBARA PUBLIC LIBRARY,CA,234927,1140,886434
SANTA CLARA CITY LIBRARY,CA,248926,793,1798394
SANTA CLARA COUNTY LIBRARY,CA,1497011,1701,10510346
SANTA CRUZ PUBLIC LIBRARIES,CA,274906,1639,1614917
SANTA FE SPRINGS CITY LIBRARY,CA,14143,167,132280
SANTA MARIA PUBLIC LIBRARY,CA,140558,435,367420
SANTA MONICA PUBLIC LIBRARY,CA,122607,188,721849
BLANCHARD/SANTA PAULA PUBLIC LIBRARY DISTRICT,CA,55208,55,69736
SAUSALITO PUBLIC LIBRARY,CA,44572,92,106295
SHASTA PUBLIC LIBRARIES,CA,397823,520,470065
SIERRA MADRE PUBLIC LIBRARY,CA,42079,435,103616
SISKIYOU COUNTY FREE LIBRARY,CA,84285,,129211
SOLANO COUNTY LIBRARY,CA,552804,2084,1818866
SONOMA COUNTY LIBRARY,CA,912925,2508,3568329
SOUTH PASADENA PUBLIC LIBRARY,CA,124332,219,318062
SOUTH SAN FRANCISCO PUBLIC LIBRARY,CA,166841,1020,456652
STANISLAUS COUNTY FREE LIBRARY,CA,498319,808,1322579
ST. HELENA PUBLIC LIBRARY,CA,45142,185,153507
STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY,CA,425695,2025,783496
SUNNYVALE PUBLIC LIBRARY,CA,263176,474,1398369
SUTTER COUNTY LIBRARY,CA,19200,724,207487
TEHAMA COUNTY LIBRARY,CA,159132,31,86726
TORRANCE PUBLIC LIBRARY,CA,265588,537,698759
TRINITY COUNTY FREE LIBRARY,CA,23244,49,39663
TULARE COUNTY FREE LIBRARY,CA,101391,997,315793
TULARE PUBLIC LIBRARY,CA,69331,207,124562
TUOLUMNE COUNTY LIBRARY,CA,50714,193,110460
UPLAND PUBLIC LIBRARY,CA,89617,310,165183
VENTURA COUNTY LIBRARY,CA,325686,1222,867658
WATSONVILLE PUBLIC LIBRARY,CA,77233,238,125929
WHITTIER PUBLIC LIBRARY,CA,31079,92,235709
WILLOWS PUBLIC LIBRARY,CA,7283,51,15251
WOODLAND PUBLIC LIBRARY,CA,95926,546,212048
YOLO COUNTY LIBRARY,CA,292509,400,1228315
YORBA LINDA PUBLIC LIBRARY,CA,374333,579,1125252
YUBA COUNTY LIBRARY,CA,32500,179,23881
CORONADO PUBLIC LIBRARY,CA,220967,824,208479
IRWINDALE PUBLIC LIBRARY,CA,15522,155,23288
BENICIA PUBLIC LIBRARY,CA,81834,530,269832
LOS GATOS LIBRARY,CA,150198,284,395186
A. K. SMILEY PUBLIC LIBRARY,CA,190567,319,222501
SIGNAL HILL PUBLIC LIBRARY,CA,59578,176,38864
BANNING LIBRARY DISTRICT,CA,6709,185,18086
BEAUMONT LIBRARY DISTRICT,CA,18048,385,106424
THOUSAND OAKS LIBRARY,CA,305349,688,875149
MARIPOSA COUNTY LIBRARY,CA,132552,65,30424
FOLSOM PUBLIC LIBRARY,CA,152229,351,557266
RANCHO CUCAMONGA PUBLIC LIBRARY,CA,135672,139,557596
LASSEN LIBRARY DISTRICT,CA,14395,66,19219
RANCHO MIRAGE PUBLIC LIBRARY,CA,88222,220,181895
BELVEDERE-TIBURON LIBRARY,CA,23030,102,100751
MISSION VIEJO LIBRARY,CA,297153,173,788543
RIVERSIDE COUNTY LIBRARY SYSTEM,CA,1540701,6837,2788928
MORENO VALLEY PUBLIC LIBRARY,CA,178999,639,215685
CALABASAS CITY LIBRARY,CA,65000,143,158142
MURRIETA PUBLIC LIBRARY,CA,92570,130,470284
PLEASANTON PUBLIC LIBRARY,CA,264223,183,1009060
VICTORVILLE CITY LIBRARY,CA,16499,71,24508
MOORPARK CITY LIBRARY,CA,50387,333,92323
CAMARILLO PUBLIC LIBRARY,CA,161519,377,491230
SANTA CLARITA PUBLIC LIBRARY,CA,331946,1192,1003832
SIMI VALLEY PUBLIC LIBRARY,CA,112336,312,362394
BERNARD E. WITKIN ALAMEDA COUNTY LAW LIBRARY,CA,,23,1191
EL DORADO COUNTY LAW LIBRARY,CA,,38,0
IMPERIAL COUNTY LAW LIBRARY,CA,1002,0,
KERN COUNTY LAW LIBRARY,CA,2672,50,0
LOS ANGELES COUNTY LAW LIBRARY,CA,85738,700,8880
MARIN COUNTY LAW LIBRARY,CA,300,28,
RIVERSIDE COUNTY LAW LIBRARY,CA,2761,60,1072
SACRAMENTO COUNTY PUBLIC LAW LIBRARY,CA,17238,22,8483
SAN DIEGO COUNTY PUBLIC LAW LIBRARY,CA,10643,58,3558
SANTA BARBARA COUNTY LAW LIBRARY,CA,15453,0,
SANTA CRUZ COUNTY LAW LIBRARY,CA,4352,5,222
SOLANO COUNTY LAW LIBRARY,CA,3846,0,580
SONOMA COUNTY PUBLIC LAW LIBRARY,CA,8000,62,5300
TULARE COUNTY PUBLIC LAW LIBRARY,CA,13624,0,62
LOOMIS LIBRARY & COMMUNITY LEARNING CENTER,CA,12708,118,37551
GOLETA VALLEY LIBRARY,CA,126134,748,568323
SHAFTER LIBRARY,CA,21262,872,37637
RANGEVIEW LIBRARY DISTRICT,CO,659939,2445,1574240
AKRON PUBLIC LIBRARY,CO,5025,28,5750
ALAMOSA PUBLIC LIBRARY,CO,49042,226,173909
ARAPAHOE LIBRARY DISTRICT,CO,1072952,3954,4295083
UPPER SAN JUAN LIBRARY DISTRICT,CO,60388,400,99263
AURORA PUBLIC LIBRARY,CO,505677,2815,1119390
BACA COUNTY LIBRARY,CO,12219,2,5121
BASALT REGIONAL LIBRARY DISTRICT,CO,86730,502,126405
PINE RIVER PUBLIC LIBRARY DISTRICT/BAYFIELD,CO,91244,631,53546
BERTHOUD COMMUNITY LIBRARY DISTRICT,CO,33925,186,51514
BOULDER PUBLIC LIBRARY,CO,529733,4255,1474664
BROOMFIELD/EISENHOWER PUBLIC LIBRARY,CO,210368,834,703713
EAST MORGAN COUNTY LIBRARY DISTRICT/BRUSH,CO,43988,590,107576
NORTHERN CHAFFEE COUNTY LIBRARY DISTRICT (BUENA VISTA),CO,74000,326,95242
BURLINGTON PUBLIC LIBRARY,CO,14728,253,16838
CANON CITY PUBLIC LIBRARY,CO,52835,711,136150
CONEJOS COUNTY LIBRARY DISTRICT,CO,3797,25,10656
CORTEZ PUBLIC LIBRARY,CO,204888,,147418
COSTILLA COUNTY PUBLIC LIBRARY,CO,1158,31,0
MOFFAT COUNTY LIBRARY,CO,33945,259,84385
WEST CUSTER COUNTY LIBRARY DISTRICT,CO,33163,217,42538
DENVER PUBLIC LIBRARY,CO,1722259,5619,6743882
DOLORES COUNTY SCHOOL/PUBLIC LIBRARY (DOVE CREEK),CO,23600,12,5025
DOLORES LIBRARY DISTRICT/MONTEZUMA COUNTY,CO,20533,335,33852
DOUGLAS COUNTY LIBRARIES,CO,1326756,5552,5745863
DURANGO PUBLIC LIBRARY,CO,211580,295,303486
EAGLE VALLEY LIBRARY DISTRICT,CO,251437,1490,324765
ELBERT COUNTY LIBRARY DISTRICT,CO,33208,418,104101
ENGLEWOOD PUBLIC LIBRARY,CO,119563,910,167694
ESTES VALLEY PUBLIC LIBRARY DISTRICT,CO,94810,874,156882
JOHN C. FREMONT LIBRARY DISTRICT (FLORENCE),CO,15080,37,30942
POUDRE RIVER PUBLIC LIBRARY DISTRICT,CO,633723,1251,2467636
FORT MORGAN PUBLIC LIBRARY,CO,73958,217,42942
FOWLER PUBLIC LIBRARY,CO,6149,5,4005
GARFIELD COUNTY PUBLIC LIBRARY DISTRICT,CO,308675,2018,513453
GILPIN COUNTY LIBRARY DISTRICT,CO,17437,189,34617
GRAND COUNTY LIBRARY DISTRICT,CO,136863,1001,161510
GUNNISON COUNTY LIBRARY DISTRICT,CO,173163,810,118864
HAXTUN PUBLIC LIBRARY,CO,726,10,1234
WEST ROUTT LIBRARY DISTRICT/HAYDEN,CO,10770,412,29144
HOLLY PUBLIC LIBRARY,CO,1992,50,1514
HOLYOKE/HEGINBOTHAM LIBRARY,CO,6000,88,15020
SPANISH PEAKS LIBRARY DISTRICT,CO,6052,1219,12803
HUGO PUBLIC LIBRARY,CO,3821,11,4077
JACKSON COUNTY PUBLIC LIBRARY,CO,3820,20,4642
JEFFERSON COUNTY PUBLIC LIBRARY,CO,1725351,6644,8512602
JULESBURG PUBLIC LIBRARY,CO,5125,20,7045
KIOWA COUNTY PUBLIC LIBRARY DISTRICT,CO,4193,21,8767
LA JUNTA/WOODRUFF MEMORIAL LIBRARY,CO,52912,92,69484
LA VETA REGIONAL LIBRARY DISTRICT,CO,30880,272,24477
LAFAYETTE PUBLIC LIBRARY,CO,120815,560,396670
HINSDALE LIBRARY DISTRICT/LAKE CITY,CO,5096,18,28045
LAKE COUNTY PUBLIC LIBRARY,CO,35311,355,31207
LAMAR PUBLIC LIBRARY,CO,64300,252,41122
LAS ANIMAS-BENT COUNTY LIBRARY DISTRICT,CO,12436,,9140
LIMON MEMORIAL LIBRARY,CO,13872,105,32446
LINCOLN COUNTY BOOKMOBILE,CO,2740,18,9415
LITTLETON/BEMIS PUBLIC LIBRARY,CO,180567,634,483813
LONGMONT PUBLIC LIBRARY,CO,261392,561,1359297
LOUISVILLE PUBLIC LIBRARY,CO,142676,552,540747
LOVELAND PUBLIC LIBRARY,CO,225339,803,882832
LYONS REGIONAL LIBRARY DISTRICT,CO,30370,229,55013
MANCOS LIBRARY DISTRICT,CO,16328,268,22137
MEEKER REGIONAL LIBRARY DISTRICT,CO,15662,64,17804
MESA COUNTY PUBLIC LIBRARY DISTRICT,CO,791454,1432,1295018
MINERAL COUNTY SCHOOL/REGIONAL PUBLIC LIBRARY,CO,3005,,6297
MONTROSE REGIONAL LIBRARY DISTRICT,CO,179128,690,276946
LONE CONE LIBRARY DISTRICT (NORWOOD),CO,22776,407,10917
NUCLA PUBLIC LIBRARY,CO,2321,2,2540
COMBINED COMMUNITY LIBRARY (ORDWAY),CO,1199,23,28386
OURAY LIBRARY DISTRICT,CO,8380,316,18553
PARK COUNTY PUBLIC LIBRARY,CO,44407,593,49601
PENROSE COMMUNITY LIBRARY DISTRICT,CO,7773,77,21600
PIKES PEAK LIBRARY DISTRICT,CO,1669699,3944,6327631
PITKIN COUNTY LIBRARY,CO,123100,517,112596
PUEBLO CITY-COUNTY LIBRARY DISTRICT,CO,601986,5169,1486708
RANGELY REGIONAL LIBRARY DISTRICT,CO,8651,52,13032
ROCKY FORD PUBLIC LIBRARY,CO,76786,,89643
SOUTH ROUTT LIBRARY DISTRICT,CO,8965,95,18294
SOUTHERN TELLER COUNTY SCHOOL/PUBLIC LIB DIST,CO,27817,25,37265
NORTHERN SAGUACHE COUNTY LIBRARY DISTRICT,CO,19255,239,14072
SOUTHERN CHAFFEE COUNTY REGIONAL LIB DIST/SALIDA,CO,129573,321,232596
SECURITY PUBLIC LIBRARY,CO,92555,618,164551
SILVERTON PUBLIC LIBRARY,CO,2466,24,4076
EAST ROUTT LIBRARY DISTRICT,CO,201736,742,317149
STERLING PUBLIC LIBRARY,CO,47196,263,76001
STRATTON PUBLIC LIBRARY,CO,1436,7,3412
SUMMIT COUNTY LIBRARY,CO,118185,610,158014
SWINK SCHOOL/PUBLIC LIBRARY,CO,600,,6000
SAN MIGUEL LIBRARY DISTRICT # 1 (TELLURIDE),CO,149215,1081,172569
TRINIDAD CARNEGIE PUBLIC LIBRARY,CO,28430,103,50492
VAIL PUBLIC LIBRARY,CO,94889,392,47409
WELLINGTON PUBLIC LIBRARY,CO,19934,144,27214
WESTMINSTER PUBLIC LIBRARY,CO,141131,429,389810
CLEARVIEW LIBRARY DISTRICT,CO,145161,835,452732
RAMPART REGIONAL LIBRARY DISTRICT,CO,80112,721,181961
WRAY PUBLIC LIBRARY,CO,11410,178,19788
YUMA PUBLIC LIBRARY,CO,12500,146,18613
IGNACIO COMMUNITY LIBRARY DISTRICT,CO,52124,348,24394
CLEAR CREEK COUNTY LIBRARY DISTRICT,CO,42943,463,65229
DELTA COUNTY PUBLIC LIBRARY DISTRICT,CO,131573,588,182421
HIGH PLAINS LIBRARY DISTRICT,CO,902778,5892,1797349
RIO GRANDE COUNTY LIBRARY DISTRICT,CO,27379,12,25005
SOUTHWEST LA PLATA LIBRARY DISTRICT,CO,10981,370,9628
FLAGLER COMMUNITY LIBRARY,CO,2500,0,2693
FLEMING COMMUNITY LIBRARY (SCHOOL/PUBLIC),CO,12847,414,11700
RED FEATHER MOUNTAIN LIBRARY DISTRICT,CO,17241,169,31235
EAST CHEYENNE COUNTY LIBRARY DISTRICT,CO,1955,32,4550
RIDGWAY PUBLIC LIBRARY DISTRICT,CO,41522,104,46741
AGUILAR PUBLIC LIBRARY,CO,480,5,956
WETMORE COMMUNITY LIBRARY,CO,1988,0,2192
BOULDER COUNTY NEDERLAND COMMUNITY LIBRARY DISTRICT,CO,36720,156,38987
ANDOVER PUBLIC LIBRARY,CT,5122,84,11717
ANSONIA LIBRARY,CT,9830,227,19065
BABCOCK LIBRARY,CT,3500,20,8323
AVON FREE PUBLIC LIBRARY,CT,80405,919,270066
BEACON FALLS PUBLIC LIBRARY,CT,7272,221,14914
EAST BERLIN LIBRARY ASSOCIATION,CT,72474,,170103
BERLIN-PECK MEMORIAL LIBRARY,CT,64557,217,188878
BERLIN FREE LIBRARY ASSOCIATION,CT,72474,,170103
CLARK MEMORIAL LIBRARY,CT,5843,26,29465
BETHEL PUBLIC LIBRARY,CT,46798,557,121993
BETHLEHEM PUBLIC LIBRARY,CT,7364,60,13676
BLOOMFIELD PUBLIC LIBRARY,CT,75830,535,128452
BENTLEY MEMORIAL LIBRARY,CT,7891,74,26289
JAMES BLACKSTONE MEMORIAL LIBRARY,CT,85246,759,194982
WILLOUGHBY WALLACE MEMORIAL LIBRARY,CT,18512,123,29064
BRIDGEPORT PUBLIC LIBRARY,CT,114532,974,90176
BURNHAM LIBRARY,CT,20056,181,16213
BRISTOL PUBLIC LIBRARY,CT,128804,1005,258017
BROOKFIELD LIBRARY,CT,37817,469,104682
BROOKLYN TOWN LIBRARY ASSOCIATION,CT,3756,17,9788
BURLINGTON PUBLIC LIBRARY,CT,30661,250,60659
DAVID M. HUNT LIBRARY,CT,10686,278,11048
CANTERBURY PUBLIC LIBRARY,CT,10457,200,21766
CANTON PUBLIC LIBRARY,CT,66437,290,129041
CHAPLIN PUBLIC LIBRARY,CT,4247,66,5569
CHESTER PUBLIC LIBRARY,CT,6868,61,17250
HENRY CARTER HULL LIBRARY,CT,58120,869,101788
CRAGIN MEMORIAL LIBRARY,CT,64396,133,126315
SAXTON B. LITTLE FREE LIBRARY,CT,14398,291,39615
CORNWALL LIBRARY ASSOCIATION,CT,18720,171,10430
CROMWELL BELDEN PUBLIC LIBRARY,CT,49686,327,109042
DANBURY PUBLIC LIBRARY,CT,193560,1655,160560
LONG RIDGE LIBRARY,CT,196248,,420246
DARIEN LIBRARY,CT,161637,1027,489837
DEEP RIVER PUBLIC LIBRARY,CT,16905,163,18710
DERBY NECK LIBRARY,CT,19859,532,19425
DERBY PUBLIC LIBRARY,CT,28066,227,18641
DURHAM PUBLIC LIBRARY,CT,41810,209,117589
EAST GRANBY PUBLIC LIBRARY,CT,29333,322,31515
EAST HADDAM FREE PUBLIC LIBRARY,CT,37804,252,49669
EAST HAMPTON PUBLIC LIBRARY,CT,48342,1140,102632
MIDDLE HADDAM PUBLIC LIBRARY,CT,43246,,98767
EAST HARTFORD PUBLIC LIBRARY,CT,58106,311,58476
HAGAMAN MEMORIAL LIBRARY,CT,100000,442,60335
EAST LYME PUBLIC LIBRARY,CT,48251,201,163611
EASTON PUBLIC LIBRARY,CT,14175,292,57527
BROAD BROOK LIBRARY,CT,37492,,85625
LIBRARY ASSOCIATION OF WAREHOUSE POINT,CT,13069,140,34179
HALL MEMORIAL LIBRARY,CT,71639,338,91776
ENFIELD PUBLIC LIBRARY,CT,84080,360,169266
ESSEX LIBRARY ASSOCIATION,CT,30099,176,51436
IVORYTON LIBRARY ASSOCIATION,CT,5134,152,16911
FAIRFIELD PUBLIC LIBRARY,CT,221386,1275,558551
PEQUOT LIBRARY ASSOCIATION,CT,17204,292,91918
FARMINGTON LIBRARIES,CT,135467,627,222455
EAST GLASTONBURY PUBLIC LIBRARY,CT,100252,,240225
WELLES-TURNER MEMORIAL LIBRARY,CT,54720,210,311636
SOUTH GLASTONBURY PUBLIC LIBRARY,CT,100252,,240225
GOSHEN PUBLIC LIBRARY,CT,6168,166,14302
GRANBY PUBLIC LIBRARY,CT,41093,352,82780
GREENWICH LIBRARY,CT,320834,891,915771
PERROT MEMORIAL LIBRARY,CT,85587,212,147119
SLATER LIBRARY,CT,13801,105,22362
BILL MEMORIAL LIBRARY,CT,13545,153,17280
GROTON PUBLIC LIBRARY,CT,102527,494,201632
MYSTIC & NOANK LIBRARY,CT,69175,400,44536
GUILFORD FREE LIBRARY,CT,117939,1880,270121
BRAINERD MEMORIAL LIBRARY,CT,36720,126,45180
HAMDEN PUBLIC LIBRARY,CT,35831,168,308644
HARTFORD PUBLIC LIBRARY,CT,254232,3374,117744
HARWINTON PUBLIC LIBRARY,CT,12375,173,31940
